index,CB,B,G1,G2,Y,R,RD,NIR,GAI,sun_elevation,Cab,Cw,Cm,N,aot,water,ozone,        Density,soil_name,SMCg,Sand,Clay,Silt,TT
500,0.015588179,0.016469615,0.04626343,0.051488444,0.031791605,0.019244837,0.09326951,0.36050734,3.473966409,48.11339282,29.27476922,0.034922285,0.007101155,1.247661725,0.268821934,2.198101914,0.297905889,447.1076845,30VigneC,29.26654038,277,185,538,948
501,0.01835663,0.019322738,0.041284844,0.041964944,0.028751122,0.023182452,0.079841785,0.35029426,3.355614508,49.74352034,38.64384821,0.036438813,0.008175587,1.039560171,0.205207988,1.37147105,0.464665204,447.1076845,30VigneC,15.75075692,277,185,538,940
502,0.018748544,0.020029448,0.04758082,0.050999455,0.034061577,0.025035799,0.092355594,0.35126144,2.944564595,39.77225199,32.66510632,0.04279051,0.006464599,1.153844055,0.164382338,3.356440275,0.372091766,447.1076845,30VigneC,23.84277417,277,185,538,900
503,0.015556757,0.016493836,0.048461966,0.047475167,0.029150276,0.017551601,0.08445233,0.34600052,3.851481311,38.00385762,39.00925436,0.056080125,0.009689361,1.787581558,0.07865377,3.248724403,0.451203263,447.1076845,30VigneC,23.32371537,277,185,538,971
504,0.010974275,0.011291025,0.0380531,0.037984703,0.02119667,0.010996753,0.07605989,0.45257312,6.684798151,22.55015242,37.07781138,0.029122455,0.004105478,1.029437293,0.37809975,4.40317249,0.240067292,447.1076845,31Sorgho,14.87807552,264,380,356,1161
505,0.035010967,0.040590446,0.06518094,0.0723081,0.067005806,0.06592078,0.110271856,0.23919174,1.126125248,48.17648287,36.93229394,0.039732827,0.01131357,1.115614475,0.393467398,0.497562029,0.212300402,447.1076845,31Sorgho,7.8861722,264,380,356,633
506,0.024776092,0.027825909,0.057434827,0.0655116,0.05134859,0.041831087,0.104539834,0.23309758,1.251648072,48.2281334,28.47394619,0.030410505,0.007037013,1.261135341,0.296111509,3.384567026,0.479809267,447.1076845,31Sorgho,22.2017012,264,380,356,666
507,0.016691672,0.017704755,0.049810514,0.048076104,0.029925711,0.01964898,0.08738912,0.36171117,2.97286379,36.83737755,41.29852084,0.035376916,0.009146494,1.721720784,0.30570984,3.855262681,0.342475601,447.1076845,31Sorgho,21.69654003,264,380,356,903
508,0.0236533,0.028209412,0.07812525,0.0972972,0.07074837,0.043634854,0.14310649,0.28546095,1.880409034,26.81573854,19.98111073,0.046636998,0.009295923,1.810322755,0.165057549,2.394809037,0.310924977,447.1076845,31Sorgho,8.784796509,264,380,356,773
509,0.020610347,0.024670461,0.0766951,0.08342155,0.05583147,0.031832047,0.13189523,0.3469966,2.269195391,34.21871537,29.46953508,0.032227287,0.006908999,2.141253172,0.119615984,1.243257782,0.416902456,447.1076845,31Sorgho,13.9700123,264,380,356,844
