index,CB,B,G1,G2,Y,R,RD,NIR,GAI,sun_elevation,Cab,Cw,Cm,N,aot,water,ozone,Density,soil_name,SMCg,Sand,Clay,Silt,TT
500,0.015576761,0.016435932,0.04495844,0.04993788,0.03118384,0.019158829,0.08908074,0.3129487,3.473966409,48.11339282,29.27476922,0.048412571,0.013254036,1.247661725,0.268821934,2.198101914,0.297905889,447.1076845,30VigneC,29.26654038,277,185,538,948
501,0.018357676,0.019326385,0.041519925,0.04219159,0.028826822,0.023190172,0.080557436,0.37732863,3.355614508,49.74352034,38.64384821,0.046014162,0.00666194,1.039560171,0.205207988,1.37147105,0.464665204,447.1076845,30VigneC,15.75075692,277,185,538,940
502,0.018747738,0.020026924,0.047459774,0.050867435,0.034013506,0.025030093,0.09199074,0.34636754,2.944564595,39.77225199,32.66510632,0.038339867,0.007088842,1.153844055,0.164382338,3.356440275,0.372091766,447.1076845,30VigneC,23.84277417,277,185,538,900
503,0.015560645,0.01650686,0.048866995,0.04786131,0.029302102,0.017572762,0.08553337,0.37910554,3.851481311,38.00385762,39.00925436,0.045442278,0.007528273,1.787581558,0.07865377,3.248724403,0.451203263,447.1076845,30VigneC,23.32371537,277,185,538,971
504,0.010963038,0.011261882,0.036928754,0.036868162,0.020792779,0.01094282,0.07265756,0.37627426,6.684798151,22.55015242,37.07781138,0.045642452,0.010519902,1.029437293,0.37809975,4.40317249,0.240067292,447.1076845,31Sorgho,14.87807552,264,380,356,1161
505,0.035009664,0.040585645,0.064939864,0.07206305,0.06691243,0.06590949,0.109578855,0.23354842,1.126125248,48.17648287,36.93229394,0.054559901,0.01357257,1.115614475,0.393467398,0.497562029,0.212300402,447.1076845,31Sorgho,7.8861722,264,380,356,633
506,0.02477491,0.027822224,0.05730549,0.06535579,0.051281396,0.04182049,0.10415727,0.23067702,1.251648072,48.2281334,28.47394619,0.03932876,0.007762905,1.261135341,0.296111509,3.384567026,0.479809267,447.1076845,31Sorgho,22.2017012,264,380,356,666
507,0.016686598,0.017684089,0.049046,0.047377538,0.029664766,0.019616771,0.085409306,0.33006868,2.97286379,36.83737755,41.29852084,0.045433279,0.013287097,1.721720784,0.30570984,3.855262681,0.342475601,447.1076845,31Sorgho,21.69654003,264,380,356,903
508,0.02362354,0.02816505,0.0774259,0.09626218,0.07022545,0.043502815,0.14102136,0.2770862,1.880409034,26.81573854,19.98111073,0.049093197,0.011535932,1.810322755,0.165057549,2.394809037,0.310924977,447.1076845,31Sorgho,8.784796509,264,380,356,773
509,0.02049817,0.02447034,0.07337194,0.079622865,0.054055426,0.031446908,0.12329193,0.29159456,2.269195391,34.21871537,29.46953508,0.061975733,0.018810964,2.141253172,0.119615984,1.243257782,0.416902456,447.1076845,31Sorgho,13.9700123,264,380,356,844
