CB,B,G1,G2,Y,R,RD,NIR,Sun_elevation,GAI
0.1656799,0.17127979,0.19222373,0.2098751,0.22350287,0.24188642,0.2705979,0.34140784,66.98692033,0.119943714
0.16225037,0.16778094,0.19038482,0.2090177,0.22116235,0.23740071,0.26973063,0.3419869,36.54807264,0.11998498
0.16266164,0.16817988,0.19069648,0.20926338,0.22138014,0.23776549,0.269777,0.3419053,45.87211715,0.121858966
0.1625606,0.1679878,0.18955015,0.20746054,0.22014779,0.23722732,0.26733994,0.33781835,39.41681386,0.124104968
0.16298153,0.16832818,0.18961005,0.207374,0.22021887,0.2374968,0.2672184,0.33754456,34.45363316,0.124231
0.102011785,0.1039451,0.1176866,0.1258506,0.13310134,0.14598548,0.16676904,0.23303276,48.19588809,0.126206867
0.10358599,0.10561204,0.119538516,0.12785383,0.13527453,0.14842561,0.16935718,0.23580319,69.74053899,0.126492587
0.09960893,0.1014554,0.11552352,0.12343247,0.1300623,0.14227563,0.16412759,0.23312776,40.67329555,0.127961336
0.09898728,0.10078846,0.11389914,0.12146778,0.12878478,0.14180692,0.16118747,0.22715837,66.27447792,0.134447775
0.09901646,0.10082233,0.113041684,0.120798625,0.12868154,0.1421215,0.15988478,0.22329858,64.09959911,0.13445432
0.095311485,0.09676428,0.11014242,0.11710237,0.12341336,0.13534883,0.15580751,0.22526069,27.07807675,0.135674389
0.12748432,0.13048515,0.14649795,0.15715262,0.16660593,0.18180771,0.2061124,0.27966297,29.95956212,0.138229424
0.12474558,0.12743677,0.1443354,0.15469855,0.16288209,0.17683882,0.2036607,0.28150147,22.52211676,0.13841905
0.12833832,0.13150997,0.14785579,0.15863287,0.16810079,0.18346073,0.20811886,0.28177518,36.85090904,0.138758672
0.12917043,0.13240087,0.1483961,0.15926711,0.16915904,0.18488598,0.20878999,0.2818947,35.81934148,0.139129947
0.09768353,0.099386245,0.111911975,0.11942044,0.12682684,0.13979284,0.15827808,0.22297716,47.8910235,0.140126077
0.12647596,0.12941921,0.14613181,0.15673274,0.16548638,0.18008618,0.20624767,0.28338712,29.01354383,0.140489665
0.142469,0.14662865,0.16473544,0.17600964,0.1871545,0.20472378,0.22988579,0.3089394,61.0870353,0.144792892
0.140821,0.14485122,0.16311826,0.17416371,0.18486123,0.20195852,0.227595,0.3072497,53.0061319,0.147338575
0.13749665,0.14125772,0.15962894,0.17028634,0.1802432,0.19648275,0.22300369,0.3048559,33.66687137,0.149412862
0.13765407,0.1408967,0.15853721,0.16896898,0.17878494,0.19473942,0.22061412,0.30212528,21.08009994,0.149830375
0.13660282,0.14016774,0.1584485,0.16894723,0.17862335,0.19451553,0.22129083,0.30431643,29.11971179,0.155517016
0.16328545,0.16872653,0.19120936,0.20512752,0.21686055,0.23515873,0.26819766,0.36074436,55.4614291,0.164063728
0.14383185,0.14786956,0.16379574,0.17474034,0.18709406,0.20608416,0.22790183,0.31055826,57.0967973,0.167759159
0.15864766,0.1630551,0.1847847,0.19787484,0.20836885,0.22506523,0.2582112,0.35024384,22.22015593,0.168238248
0.13814905,0.14180405,0.15610619,0.16680698,0.17939845,0.19844908,0.21675691,0.2889171,59.76793238,0.168781472
0.13265747,0.13610275,0.15114954,0.16093695,0.17214742,0.1900259,0.21052611,0.2911029,51.28691924,0.169399912
0.13696794,0.1397802,0.15570948,0.16530399,0.17562015,0.19232857,0.2158142,0.30262205,21.10352638,0.170341217
0.13210514,0.13542496,0.15058857,0.16020422,0.17115332,0.18879807,0.2097128,0.291504,48.01339695,0.170371844
0.10459936,0.10658133,0.11880699,0.12616082,0.1348108,0.14944604,0.16643703,0.24051195,50.19409108,0.171091742
0.16389482,0.16928154,0.19085203,0.20472816,0.21705554,0.23590231,0.26697055,0.35578665,57.75006529,0.171675751
0.1600079,0.16506019,0.18761021,0.20112666,0.2119894,0.22928569,0.26305166,0.35562056,38.14266741,0.171853792
0.10497867,0.106931016,0.11889188,0.12637447,0.13519527,0.14992507,0.16643845,0.23872413,45.43448446,0.172725194
0.10597944,0.10797829,0.11964752,0.12740028,0.13657328,0.15157253,0.16745466,0.23739582,48.75225068,0.173797078
0.0988446,0.09995825,0.11047688,0.11721549,0.12515761,0.1385237,0.15421864,0.23042716,22.991766,0.173843662
0.12504977,0.1274185,0.14220469,0.15062872,0.15996069,0.17581487,0.19754794,0.28390786,24.45902902,0.174728624
0.104505874,0.10650986,0.11721063,0.12499712,0.13427289,0.14923547,0.16446671,0.2381192,65.99296649,0.175126768
0.10525341,0.1073007,0.11976332,0.12713382,0.13579275,0.15052663,0.16788031,0.2434121,63.28796864,0.176119707
0.14348358,0.14749256,0.16339073,0.1743149,0.18664348,0.20554875,0.22728282,0.30919862,53.73662553,0.176230956
0.04676866,0.045706484,0.050883386,0.054287896,0.05790652,0.06585363,0.075618915,0.12658148,31.11226364,0.177029485
